nome;data;ano;nome_local;lotacao
LUISA SONZA;06/09/2024;2024;NEO QUIMICA ARENA;25000
SEPULTURA;06/09/2024;2024;ESPACO UNIMED;8000
LENINE;06/09/2024;2024;MEMORIAL DA AMERICA LATINA;20000
ZEEBA;06/09/2024;2024;NEO QUIMICA ARENA;25000
THE WEEKND;07/09/2024;2024;MORUMBIS;64319
OS PARALAMAS DO SUCESSO;07/09/2024;2024;MEMORIAL DA AMERICA LATINA;15000
SEPULTURA;07/09/2024;2024;ESPACO UNIMED;8000
LULU SANTOS;07/09/2024;2024;MEMORIAL DA AMERICA LATINA;15000
DJ GUUGA;07/09/2024;2024;MORUMBIS;64319
SEPULTURA;08/09/2024;2024;ESPACO UNIMED;8000
XANDE DE PILARES;08/09/2024;2024;MEMORIAL DA AMERICA LATINA;33000
YAGO OPROPRIO;08/09/2024;2024;MEMORIAL DA AMERICA LATINA;33000
TRAVIS SCOTT;11/09/2024;2024;ALLIANZ PARQUE;42200
DEEP PURPLE;13/09/2024;2024;ESPACO UNIMED;7800
